Actual_Close,Predicted_Close,Signal,Portfolio_Value
0.73,4.5761046,0.0,1000.0
0.71,4.5761046,0.0,1000.0
0.73,4.5761046,0.0,1000.0
0.76,4.5761046,0.0,1000.0
0.75,4.5761046,0.0,1000.0
0.75,4.5761046,0.0,1000.0
0.72,4.5761046,0.0,1000.0
0.71,4.5761046,0.0,1000.0
0.64,4.5761046,0.0,1000.0
0.63,4.5761046,0.0,1000.0
0.6,4.5761046,0.0,1000.0
0.6,4.5761046,0.0,1000.0
0.59,4.5761046,0.0,1000.0
0.59,4.5761046,0.0,1000.0
0.56,4.5761046,0.0,1000.0
0.53,4.5761046,0.0,1000.0
0.56,4.5761046,0.0,1000.0
0.59,4.5761046,0.0,1000.0
0.59,4.5761046,0.0,1000.0
0.6,4.5761046,0.0,1000.0
0.6,4.5761046,0.0,1000.0
0.62,4.5761046,0.0,1000.0
0.62,4.5761046,0.0,1000.0
0.62,4.5761046,0.0,1000.0
0.63,4.5761046,0.0,1000.0
0.62,4.5761046,0.0,1000.0
0.63,4.5761046,0.0,1000.0
0.62,4.5761046,0.0,1000.0
0.67,4.5761046,0.0,1000.0
0.66,4.5761046,0.0,1000.0
0.66,4.5761046,0.0,1000.0
0.7,4.5761046,0.0,1000.0
0.68,4.5761046,0.0,1000.0
0.64,4.5761046,0.0,1000.0
0.66,4.5761046,0.0,1000.0
0.69,4.5761046,0.0,1000.0
0.71,4.5761046,0.0,1000.0
0.65,4.5761046,0.0,1000.0
0.6,4.5761046,0.0,1000.0
0.59,4.5761046,0.0,1000.0
0.63,4.5761046,0.0,1000.0
0.68,4.5761046,0.0,1000.0
0.62,4.5761046,0.0,1000.0
0.59,4.5761046,0.0,1000.0
0.67,4.5761046,0.0,1000.0
0.77,4.5761046,0.0,1000.0
